,Model Name,Training Set Score,Training Set Loss,Test Set Score,Iterations
0,1 hidden unit,0.395,1.6792111508384142,0.38,5245
1,2 hidden units,0.755,0.7740908057887246,0.68,5071
2,3 hidden units,0.995,0.09558761746211789,0.96,3748
3,4 hidden units,0.99,0.07756904170804017,0.96,4795
4,5 hidden units,1.0,0.026645315302407796,1.0,3206
5,6 hidden units,1.0,0.025915551471787205,0.98,3430
6,7 hidden units,1.0,0.02078749125193939,1.0,2513
7,8 hidden units,1.0,0.020208738140459204,1.0,2631
8,9 hidden units,1.0,0.021913220349908412,1.0,2708
9,10 hidden units,1.0,0.020971845400261296,1.0,2849
