,Model Name,Training Set Score,Training Set Loss,Test Set Score,Iterations
0,1 hidden unit,0.385,1.5876090299146082,0.38,4285
1,2 hidden units,0.77,0.6626904946565165,0.78,4967
2,3 hidden units,0.97,0.20797717211805464,0.98,5938
3,4 hidden units,1.0,0.033660906923417604,0.98,4742
4,5 hidden units,1.0,0.030083393295596797,1.0,4207
5,6 hidden units,1.0,0.02679586362085997,1.0,3193
6,7 hidden units,1.0,0.022029251789920653,1.0,2909
7,8 hidden units,1.0,0.023974174797636416,1.0,2979
8,9 hidden units,1.0,0.02173677854590371,1.0,2945
9,10 hidden units,1.0,0.020321683562146878,0.98,2574
