,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate_init,param_momentum,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,1.682454514503479,0.15169967163262463,0.0007067441940307618,2.7515415029421065e-05,0.001,0.001,sgd,"{'learning_rate_init': 0.001, 'momentum': 0.001, 'solver': 'sgd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
1,1.693806529045105,0.16465216548569914,0.0007002115249633789,3.5306080668896954e-06,0.001,0.1,sgd,"{'learning_rate_init': 0.001, 'momentum': 0.1, 'solver': 'sgd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
2,1.7283134698867797,0.48423750602930965,0.0007081985473632813,1.4510743119529043e-05,0.001,0.2,sgd,"{'learning_rate_init': 0.001, 'momentum': 0.2, 'solver': 'sgd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
3,2.217077350616455,0.9068244683098685,0.0007105827331542969,3.272405954296845e-05,0.001,0.3,sgd,"{'learning_rate_init': 0.001, 'momentum': 0.3, 'solver': 'sgd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
4,2.9320992946624758,0.5550543612712322,0.0006994247436523437,7.665963746004657e-06,0.001,0.4,sgd,"{'learning_rate_init': 0.001, 'momentum': 0.4, 'solver': 'sgd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
5,2.9370239973068237,0.5782203502769878,0.0007034540176391602,1.602103666106022e-05,0.001,0.5,sgd,"{'learning_rate_init': 0.001, 'momentum': 0.5, 'solver': 'sgd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
6,3.127296733856201,0.018117516977063475,0.0007005214691162109,8.315170531356071e-06,0.001,0.6,sgd,"{'learning_rate_init': 0.001, 'momentum': 0.6, 'solver': 'sgd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
7,3.121467638015747,0.015338936570637,0.0007038593292236328,1.6654113733629665e-05,0.001,0.7,sgd,"{'learning_rate_init': 0.001, 'momentum': 0.7, 'solver': 'sgd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
8,3.12491352558136,0.0143792349872584,0.0007300615310668945,1.440192288019255e-05,0.001,0.8,sgd,"{'learning_rate_init': 0.001, 'momentum': 0.8, 'solver': 'sgd'}",0.1,0.25,0.2,0.05,0.0,0.1,0.2,0.05,0.05,0.05,0.10500000000000001,0.0788986691902975,92
9,3.1343148946762085,0.012197343226256896,0.0007376432418823242,1.3379701438528218e-05,0.001,0.9,sgd,"{'learning_rate_init': 0.001, 'momentum': 0.9, 'solver': 'sgd'}",0.65,0.7,0.7,0.45,0.85,1.0,0.95,0.85,0.6,0.85,0.76,0.1609347693943108,91
10,3.1482197523117064,0.022647920211915674,0.0007413864135742187,2.2993787883793785e-05,0.1,0.001,sgd,"{'learning_rate_init': 0.1, 'momentum': 0.001, 'solver': 'sgd'}",1.0,0.9,0.9,0.95,0.9,1.0,1.0,0.9,0.85,1.0,0.9400000000000001,0.053851648071345036,88
11,3.127841258049011,0.03161461472060618,0.0007292509078979492,3.4319855509818266e-06,0.1,0.1,sgd,"{'learning_rate_init': 0.1, 'momentum': 0.1, 'solver': 'sgd'}",1.0,0.95,0.8,0.95,1.0,1.0,1.0,1.0,0.9,0.95,0.9549999999999998,0.0610327780786685,69
12,3.1295063495635986,0.10868561305638787,0.0007376432418823242,6.244974078906314e-06,0.1,0.2,sgd,"{'learning_rate_init': 0.1, 'momentum': 0.2, 'solver': 'sgd'}",0.9,0.95,0.8,0.95,1.0,1.0,1.0,1.0,0.9,0.95,0.945,0.0610327780786685,83
13,3.185371446609497,0.18946383121342575,0.0007831573486328125,6.118118058886615e-05,0.1,0.3,sgd,"{'learning_rate_init': 0.1, 'momentum': 0.3, 'solver': 'sgd'}",0.9,1.0,0.9,0.95,0.95,1.0,1.0,0.95,0.9,0.9,0.9450000000000001,0.04153311931459036,82
14,2.8957425355911255,0.1025519667014865,0.0007471561431884766,1.2327324212728798e-05,0.1,0.4,sgd,"{'learning_rate_init': 0.1, 'momentum': 0.4, 'solver': 'sgd'}",0.9,0.95,0.95,0.95,0.95,1.0,1.0,0.95,0.9,0.95,0.95,0.031622776601683784,79
15,2.6074924230575562,0.28332203642233095,0.0007537126541137696,1.3980378387053437e-05,0.1,0.5,sgd,"{'learning_rate_init': 0.1, 'momentum': 0.5, 'solver': 'sgd'}",1.0,0.95,0.8,0.95,0.95,1.0,1.0,1.0,0.95,0.95,0.9549999999999998,0.05678908345800272,69
16,2.5743898868560793,0.3140959929560757,0.000752401351928711,1.8319733619821774e-05,0.1,0.6,sgd,"{'learning_rate_init': 0.1, 'momentum': 0.6, 'solver': 'sgd'}",0.95,1.0,0.8,1.0,0.95,1.0,1.0,1.0,0.95,1.0,0.9650000000000001,0.05937171043518958,24
