,Model Name,Training Set Score,Training Set Loss,Test Set Score,Iterations
0,1 hidden unit,0.195,1.5849273483098127,0.22,5374
1,2 hidden units,0.885,0.5362651509367498,0.84,5434
2,3 hidden units,0.975,0.237974376608149,0.94,4374
3,4 hidden units,0.985,0.06731943037735968,0.96,4795
4,5 hidden units,1.0,0.025797603792909237,1.0,3453
5,6 hidden units,1.0,0.024088991452910057,1.0,2861
6,7 hidden units,1.0,0.027332122805425296,0.96,3403
7,8 hidden units,1.0,0.02108831139660194,0.98,2672
8,9 hidden units,1.0,0.023410736989231372,1.0,2992
9,10 hidden units,1.0,0.018858647152298073,1.0,2382
